Date,deviceID,target,Change_Pts_per_day
277,2022-01-15,nm-mngd-20210924-77f105f0,Chicago,10
278,2022-01-15,nm-mngd-20210924-77f105f0,Seattle,2
279,2022-01-15,nm-mngd-20210927-1aaa32b5,Atlanta,8
280,2022-01-15,nm-mngd-20210927-1aaa32b5,Chicago,16
281,2022-01-15,nm-mngd-20210927-1aaa32b5,Seattle,2
282,2022-01-15,nm-mngd-20210927-4a1de38c,Atlanta,1
283,2022-01-15,nm-mngd-20210927-4a1de38c,Chicago,8
284,2022-01-15,nm-mngd-20210927-4a1de38c,Seattle,1
285,2022-01-15,nm-mngd-20210927-9044c591,Atlanta,7
286,2022-01-15,nm-mngd-20210927-9044c591,Chicago,14
287,2022-01-15,nm-mngd-20210927-9044c591,Seattle,3
288,2022-01-16,nm-mngd-20210518-221fcce5,Atlanta,1
289,2022-01-16,nm-mngd-20210518-221fcce5,Chicago,1
290,2022-01-16,nm-mngd-20210518-221fcce5,Seattle,1
291,2022-01-16,nm-mngd-20210518-f2242dfd,Atlanta,2
292,2022-01-16,nm-mngd-20210518-f2242dfd,Chicago,7
293,2022-01-16,nm-mngd-20210518-f2242dfd,Seattle,1
294,2022-01-16,nm-mngd-20210924-77f105f0,Atlanta,4
295,2022-01-16,nm-mngd-20210924-77f105f0,Chicago,6
296,2022-01-16,nm-mngd-20210924-77f105f0,Seattle,2
297,2022-01-16,nm-mngd-20210927-1aaa32b5,Atlanta,7
298,2022-01-16,nm-mngd-20210927-1aaa32b5,Chicago,10
299,2022-01-16,nm-mngd-20210927-1aaa32b5,Seattle,10
300,2022-01-16,nm-mngd-20210927-4a1de38c,Atlanta,1
301,2022-01-16,nm-mngd-20210927-4a1de38c,Chicago,1
302,2022-01-16,nm-mngd-20210927-4a1de38c,Seattle,1
303,2022-01-16,nm-mngd-20210927-9044c591,Atlanta,3
304,2022-01-16,nm-mngd-20210927-9044c591,Chicago,6
305,2022-01-16,nm-mngd-20210927-9044c591,Seattle,2
306,2022-01-17,nm-mngd-20210518-221fcce5,Atlanta,1
307,2022-01-17,nm-mngd-20210518-221fcce5,Chicago,1
308,2022-01-17,nm-mngd-20210518-221fcce5,Seattle,1
309,2022-01-17,nm-mngd-20210518-f2242dfd,Atlanta,1
310,2022-01-17,nm-mngd-20210518-f2242dfd,Chicago,16
311,2022-01-17,nm-mngd-20210518-f2242dfd,Seattle,1
312,2022-01-17,nm-mngd-20210924-77f105f0,Atlanta,2
313,2022-01-17,nm-mngd-20210924-77f105f0,Chicago,3
314,2022-01-17,nm-mngd-20210924-77f105f0,Seattle,1
315,2022-01-17,nm-mngd-20210927-1aaa32b5,Atlanta,5
316,2022-01-17,nm-mngd-20210927-1aaa32b5,Chicago,19
317,2022-01-17,nm-mngd-20210927-1aaa32b5,Seattle,4
318,2022-01-17,nm-mngd-20210927-4a1de38c,Atlanta,1
319,2022-01-17,nm-mngd-20210927-4a1de38c,Chicago,5
320,2022-01-17,nm-mngd-20210927-4a1de38c,Seattle,1
321,2022-01-17,nm-mngd-20210927-9044c591,Atlanta,1
322,2022-01-17,nm-mngd-20210927-9044c591,Chicago,5
323,2022-01-17,nm-mngd-20210927-9044c591,Seattle,1
324,2022-01-18,nm-mngd-20210518-221fcce5,Atlanta,1
325,2022-01-18,nm-mngd-20210518-221fcce5,Chicago,3
326,2022-01-18,nm-mngd-20210518-221fcce5,Seattle,1
327,2022-01-18,nm-mngd-20210518-f2242dfd,Atlanta,1
328,2022-01-18,nm-mngd-20210518-f2242dfd,Chicago,9
329,2022-01-18,nm-mngd-20210518-f2242dfd,Seattle,3
330,2022-01-18,nm-mngd-20210924-77f105f0,Atlanta,2
331,2022-01-18,nm-mngd-20210924-77f105f0,Chicago,12
332,2022-01-18,nm-mngd-20210924-77f105f0,Seattle,2
