time,speedtest_ookla_download,speedtest_ookla_upload,speedtest_ndt7_download,speedtest_ookla_latency,speedtest_ndt7_downloadretrans,speedtest_ookla_jitter,speedtest_ookla_pktloss2,iperf_udp_download,speedtest_ndt7_minrtt,google_rtt_max_ms_under_ul,google_rtt_max_ms_under_dl,google_rtt_max_ms,dns_query_avg_ms,dns_query_max_ms,install
2021-07-01 09:50:28.231981+00:00,,,,,,,,,,,,8.577,22.5,55.0,Hyde Park
2021-07-01 09:55:30.263483+00:00,,,,,,,,,,,,12.169,20.0,51.0,Hyde Park
2021-07-01 10:00:28.811639+00:00,,,,,,,,,,,,17.349,188.5,1331.0,Hyde Park
2021-07-01 10:05:26.672988+00:00,,,,,,,,,,,,10.202,28.0,51.0,Hyde Park
2021-07-01 10:10:30.862707+00:00,,,,,,,,,,,,9.17,39.0,143.0,Hyde Park
2021-07-01 10:14:00.468171+00:00,939.929712,41.643832,900.8070314127104,7.106,0.0,1.383,,,4.797,20.104,12.95,,,,Hyde Park
2021-07-01 10:15:28.491646+00:00,,,,,,,,,,,,12.702,23.5,51.0,Hyde Park
2021-07-01 10:20:28.222322+00:00,,,,,,,,,,,,13.648,20.5,51.0,Hyde Park
2021-07-01 10:25:28.097014+00:00,,,,,,,,,,,,8.5,29.5,71.0,Hyde Park
2021-07-01 10:30:28.392468+00:00,,,,,,,,,,,,12.861,27.0,47.0,Hyde Park
2021-07-01 10:35:28.342240+00:00,,,,,,,,,,,,9.362,19.0,51.0,Hyde Park
2021-07-01 10:40:30.065759+00:00,,,,,,,,,,,,8.385,24.0,59.0,Hyde Park
2021-07-01 10:45:29.785670+00:00,,,,,,,,,,,,9.578,32.5,67.0,Hyde Park
2021-07-01 10:50:26.385192+00:00,,,,,,,,,,,,14.755,23.5,59.0,Hyde Park
2021-07-01 10:55:33.109565+00:00,,,,,,,,,,,,12.423,24.0,51.0,Hyde Park
2021-07-01 11:00:30.877131+00:00,,,,,,,,,,,,11.627,29.0,51.0,Hyde Park
